video_id,channel,title,url,duration_seconds,resolution,fps,detected_scenes,cuts_first_60s,avg_shot_seconds,median_shot_seconds,p25_shot_seconds,p75_shot_seconds,avg_brightness_0_255,avg_saturation_0_255,avg_edge_density,caption_file,word_count,words_per_minute,integrated_lufs,loudness_range_lu,true_peak_dbfs
PSHQ_MuxxNw,fern,The Bank Heist of the Century,https://www.youtube.com/watch?v=PSHQ_MuxxNw,1352.64,640x320,25.0,488,35,2.77,1.72,0.88,3.28,65.3,109.1,0.0511,fern__PSHQ_MuxxNw__The Bank Heist of the Century.en.vtt,3725,165.2,-15.7,3.0,-0.4
V6d8Yy7Ji68,fern,Hansa: The Infiltration of the Dark Web,https://www.youtube.com/watch?v=V6d8Yy7Ji68,1469.4,640x320,25.0,393,19,3.74,2.2,0.96,4.68,56.8,82.9,0.0525,fern__V6d8Yy7Ji68__Hansa： The Infiltration of the Dark Web.en.vtt,3789,154.7,-15.7,3.6,-0.1
WyQ7z8BMwwk,fern,"How Hackers Stole $1,000,000,000 From Banks",https://www.youtube.com/watch?v=WyQ7z8BMwwk,850.8,640x272,25.0,207,27,4.11,3.0,1.32,5.2,73.0,78.5,0.0501,"fern__WyQ7z8BMwwk__How Hackers Stole $1,000,000,000 From Banks.en.vtt",2384,168.1,-17.1,5.5,-0.0
